Date,PX_LAST
2002/12/26,1314.51
2002/12/27,1322.09
2002/12/30,1324.93
2002/12/31,1323.64
2003/1/2,1310.62
2003/1/3,1311.32
2003/1/6,1311.97
2003/1/7,1316.3
2003/1/8,1319.62
2003/1/9,1308.07
2003/1/10,1308.54
2003/1/13,1313.96
2003/1/14,1317.74
2003/1/15,1320.83
2003/1/16,1319.62
2003/1/17,1323.27
2003/1/21,1324.56
2003/1/22,1326.91
2003/1/23,1325.39
2003/1/24,1329.08
2003/1/27,1325.76
2003/1/28,1325.07
2003/1/29,1322.21
2003/1/30,1325.51
2003/1/31,1329.21
2003/2/3,1329.61
2003/2/4,1333.37
2003/2/5,1328.93
2003/2/6,1333.84
2003/2/7,1336.19
2003/2/10,1332.81
2003/2/11,1334.04
2003/2/12,1336.99
2003/2/13,1340.16
2003/2/14,1333.66
2003/2/18,1334.53
2003/2/19,1339.11
2003/2/20,1342.81
2003/2/21,1339.91
2003/2/24,1343.96
2003/2/25,1346.08
2003/2/26,1348.67
2003/2/27,1350.07
2003/2/28,1356.52
2003/3/3,1359.23
2003/3/4,1359.58
2003/3/5,1360.9
2003/3/6,1358.35
2003/3/7,1359.77
2003/3/10,1362.77
2003/3/11,1361.38
2003/3/12,1359.62
2003/3/13,1350.94
2003/3/14,1353.3
2003/3/17,1347.02
2003/3/18,1342.97
2003/3/19,1339.27
2003/3/20,1336.93
2003/3/21,1331.89
2003/3/24,1340.91
2003/3/25,1341.95
2003/3/26,1345.77
2003/3/27,1347.3
2003/3/28,1350.16
2003/3/31,1357.1
2003/4/1,1357.49
2003/4/2,1351.02
2003/4/3,1353.33
2003/4/4,1351.64
2003/4/7,1348.27
2003/4/8,1353.87
2003/4/9,1356.06
2003/4/10,1353.94
2003/4/11,1351.58
2003/4/14,1350.17
2003/4/15,1357.08
2003/4/16,1360.62
2003/4/17,1360.36
2003/4/21,1361.64
2003/4/22,1362.13
2003/4/23,1365.05
2003/4/24,1371.78
2003/4/25,1373.36
2003/4/28,1373.17
2003/4/29,1372.22
2003/4/30,1384.19
2003/5/1,1385.16
2003/5/2,1381.87
2003/5/5,1384.95
2003/5/6,1391.96
2003/5/7,1400.4
2003/5/8,1401.63
2003/5/9,1401.39
2003/5/12,1405.47
2003/5/13,1405.68
2003/5/14,1413
2003/5/15,1410.96
2003/5/16,1416.04
2003/5/19,1416.03
2003/5/20,1422.05
2003/5/21,1420.72
2003/5/22,1424.9
2003/5/23,1426.56
2003/5/27,1422.09
2003/5/28,1420.53
2003/5/29,1428.68
2003/5/30,1429.05
2003/6/2,1424.51
2003/6/3,1431.14
2003/6/4,1433.45
2003/6/5,1430.38
2003/6/6,1430.12
2003/6/9,1438.24
2003/6/10,1445.49
2003/6/11,1445.8
2003/6/12,1449.01
2003/6/13,1454.95
2003/6/16,1450.25
2003/6/17,1444.37
2003/6/18,1438.03
2003/6/19,1438.91
2003/6/20,1435.02
2003/6/23,1439.29
2003/6/24,1443.47
2003/6/25,1435.17
2003/6/26,1423.83
2003/6/27,1421.96
2003/6/30,1425.78
2003/7/1,1423.73
2003/7/2,1425.51
2003/7/3,1417.8
2003/7/7,1414.99
2003/7/8,1414.75
2003/7/9,1417.19
2003/7/10,1419.22
2003/7/11,1421.78
2003/7/14,1416.65
2003/7/15,1403.53
2003/7/16,1403.41
2003/7/17,1403.01
2003/7/18,1402.52
2003/7/21,1389.23
2003/7/22,1391.94
2003/7/23,1395.24
2003/7/24,1391.99
2003/7/25,1390.86
2003/7/28,1383.66
2003/7/29,1374.63
2003/7/30,1378.88
2003/7/31,1363.85
2003/8/1,1366.62
2003/8/4,1373.46
2003/8/5,1363.78
2003/8/6,1374.05
2003/8/7,1377.57
2003/8/8,1378.15
2003/8/11,1374.53
2003/8/12,1375.87
2003/8/13,1361.84
2003/8/14,1361.06
2003/8/15,1360.8
2003/8/18,1364.7
2003/8/19,1372.91
2003/8/20,1370.36
2003/8/21,1367.17
2003/8/22,1371.13
2003/8/25,1367.09
2003/8/26,1370.07
2003/8/27,1367.01
2003/8/28,1375.81
2003/8/29,1375.19
2003/9/2,1366.65
2003/9/3,1367.08
2003/9/4,1372.62
2003/9/5,1384.76
2003/9/8,1382.06
2003/9/9,1383.64
2003/9/10,1391.32
2003/9/11,1387.01
2003/9/12,1392.44
2003/9/15,1396.2
2003/9/16,1393.62
2003/9/17,1401.75
2003/9/18,1402.42
2003/9/19,1404.68
2003/9/22,1398.87
2003/9/23,1399.95
2003/9/24,1406.25
2003/9/25,1408.8
2003/9/26,1414.45
2003/9/29,1411.62
2003/9/30,1424.43
2003/10/1,1424.93
2003/10/2,1419.62
2003/10/3,1405.05
2003/10/6,1409.33
2003/10/7,1402.55
2003/10/8,1403.05
2003/10/9,1399.72
2003/10/10,1403.78
2003/10/14,1398.74
2003/10/15,1397.16
2003/10/16,1393.54
2003/10/17,1399.3
2003/10/20,1401.07
2003/10/21,1400.71
2003/10/22,1405.95
2003/10/23,1402.68
2003/10/24,1411.16
2003/10/27,1407.7
2003/10/28,1414.24
2003/10/29,1408.23
2003/10/30,1404.11
2003/10/31,1409.45
2003/11/3,1405.26
2003/11/4,1408.97
2003/11/5,1403.77
2003/11/6,1399.06
2003/11/7,1396.68
2003/11/10,1396.34
2003/11/12,1403.07
2003/11/13,1414.28
2003/11/14,1420.72
2003/11/17,1424.57
2003/11/18,1426.48
2003/11/19,1420.64
2003/11/20,1425.58
2003/11/21,1426.86
2003/11/24,1421.33
2003/11/25,1424.36
2003/11/26,1421.04
2003/11/28,1416.61
2003/12/1,1412.87
2003/12/2,1414.98
2003/12/3,1412.76
2003/12/4,1416.4
2003/12/5,1428.17
2003/12/8,1423.25
2003/12/9,1417.91
2003/12/10,1420.75
2003/12/11,1426.21
2003/12/12,1426.55
2003/12/15,1425.38
2003/12/16,1428.41
2003/12/17,1432.2
2003/12/18,1436.7
2003/12/19,1437.63
2003/12/22,1436.02
2003/12/23,1429.21
2003/12/24,1435.14
2003/12/26,1439.05
2003/12/29,1433.93
2003/12/30,1431.75
2003/12/31,1432.74
2004/1/2,1424.85
